item	name	bjje	rlj	xlj	ylj	jlj	nlj
101	税收收入	0	32792878.72	498757194.87	588288963.55	588288963.55	4344606511.35
10101	增值税	0	10555442.35	114900570.92	168366823.33	168366823.33	2104559572.54
101010101	国有企业增值税	0	0	183047.61	404937.57	404937.57	8262787.41
101010102	集体企业增值税	0	125.26	41637.83	142776.28	142776.28	780750.94
101010103	股份制企业增值税	0	610791.18	13033075.07	17310330.06	17310330.06	431422661.72
101010104	联营企业增值税	0	0	59.61	7196.56	7196.56	50093.17
101010105	港澳台和外商投资企业增值税	0	3670955.65	43378687.65	47525757.20	47525757.20	808604746.23
101010106	私营企业增值税	0	2069531.93	19890049.68	33584785.44	33584785.44	252284817.60
101010119	其他增值税	0	355172.07	3470172.47	6323310.09	6323310.09	19334117.17
101010120	增值税税款滞纳金、罚款收入	0	180261.65	549412.59	775898.81	775898.81	3079567.76
101010122	软件增值税退税	0	0	-44084.91	-49543.27	-49543.27	-1274873.43
101010129	资源综合利用增值税退税	0	0	0	-99534.65	-99534.65	-3175783.48
101010151	免抵调增增值税	0	0	0	0	0	248286518.67
101010401	改征增值税	0	3668389.82	34393978.67	62426563.42	62426563.42	336535033.70
101010420	改征增值税税款滞纳金罚款收入	0	214.79	4534.65	14345.82	14345.82	158539.79
101010461	免抵调增改征增值税	0	0	0	0	0	210595.29
10103	营业税	0	0	110.17	-5095.15	-5095.15	244642.21
1010304	一般营业税	0	0	110.17	-5331.39	-5331.39	87443.94
1010320	营业税税款滞纳金、罚款收入	0	0	0	236.24	236.24	157198.27
10104	企业所得税	0	13248866.57	301787335.77	319818421.40	319818421.40	1249014925.02
1010431	其他国有企业所得税	0	89218.09	471404.21	527500.80	527500.80	3054600.05
1010432	集体企业所得税	0	337663.11	1116387.68	1213053.11	1213053.11	5998464.48
101043399	其他股份制企业所得税	0	1403773.48	113787280.48	118851642.35	118851642.35	463464415.77
101043509	其他港澳台和外商投资企业所得税	0	9082351.10	54068363.40	63942239.87	63942239.87	297703950.84
1010436	私营企业所得税	0	1827032.00	15733808.67	17997355.77	17997355.77	116812510.54
1010439	其他企业所得税	0	2183.64	317407.22	471145.97	471145.97	6622331.30
101044001	国有企业分支机构预缴所得税	0	0	0	0	0	30520.39
101044002	股份制企业分支机构预缴所得税	0	1686.94	38152005.52	38556849.64	38556849.64	116093322.49
101044003	港澳台和外商投资企业分支机构预缴所得税	0	497933.50	57286051.04	57286051.04	57286051.04	137144129.45
101044099	其他企业分支机构预缴所得税	0	3917.20	1796004.20	1796042.62	1796042.62	3263471.55
101044102	股份制企业总机构预缴所得税	0	0	14689.50	66862.99	66862.99	124269.64
101044103	港澳台和外商投资企业总机构预缴所得税	0	388.64	18407603.61	18407603.61	18407603.61	47787330.91
101044199	其他企业总机构预缴所得税	0	0	20477.01	20477.01	20477.01	57165.98
101044202	股份制企业总机构汇算清缴所得税	0	0	0	0	0	-2059612.09
101044203	港澳台和外商投资企业总机构汇算清缴所得税	0	0	0	0	0	-4349081.75
101044299	其他企业总机构汇算清缴所得税	0	0	0	0	0	85493.04
101044402	股份制企业分支机构预缴所得税	0	0	99742.73	99742.73	99742.73	125877.70
101044403	港澳台和外资投资企业分支机构预缴所得税	0	0	216079.22	239251.61	239251.61	428815.21
101044499	其他企业分支机构预缴所得税	0	0	1309.47	1309.47	1309.47	20285.09
101044502	股份制企业总机构预缴所得税	0	0	97466.58	97466.58	97466.58	522542.42
101044503	港澳台和外商投资企业总机构预缴所得税	0	328.22	2102.13	2102.13	2102.13	5597.71
101044599	其他企业总机构预缴所得税	0	2027.57	174102.01	174102.01	174102.01	250210.93
101044602	股份制企业总机构汇算清缴所得税	0	0	0	0	0	97457.66
101044603	港澳台和外商投资企业总机构汇算清缴所得税	0	0	0	0	0	13056.35
101044699	其他企业总机构汇算清缴所得税	0	0	0	0	0	177206.51
101044802	股份制企业分支机构汇算清缴所得税	0	0	0	0	0	6178.95
101044803	港澳台和外商投资企业分支机构汇算清缴所得	0	0	0	0	0	474051.36
101044899	其他企业分支机构汇算清缴所得税	0	0	0	0	0	4241.06
101044901	国有企业分支机构汇算清缴所得税	0	0	0	0	0	0.42
101044902	股份制企业分支机构汇算清缴所得税	0	0	0	0	0	1999969.12
101044903	港澳台和外商投企业分支机构汇算清缴所得税	0	0	0	0	0	23068299.44
101044999	其他企业分支机构汇算清缴所得税	0	0	0	0	0	28066474.24
